sku,field,ua_or_diff,ru_or_bad,url
847590768,descr_full,"Плита індукційна WOK зі склокерамічною поверхнею. У комплекті сковорода WOK Ø 400 мм (модель PA400A), яка виготовлена з 3-шарового матеріалу з двома ручками, кришка з неіржавкої сталі, поверхня поліро","Плита індукційна WOK зі склокерамічною поверхнею. У комплекті сковорода WOK Ø 400 мм (модель PA400A), яка виготовлена з 3-шарового матеріалу з двома ручками, кришка з неіржавкої сталі, поверхня поліро",https://labresta.com.ua/plyta-induktsiina-wok-frosty-g35-ka18-nastilna/
883848263,mod_name,Плита індукційна FROSTY 35-KP6,Плита індукційна FROSTY 35-KP6,https://labresta.com.ua/plyta-induktsiina-frosty-35-kp6/
883848263,descr_full,"Плита індукційна підлогова зі склокерамічною поверхнею на 6 конфорок. Корпус із неіржавкої сталі. Конфорки розміром 300х300 мм по 3,5 кВт Діаметр посуду від 120 до 300 мм Захист від перегрівання, сист","Плита індукційна підлогова зі склокерамічною поверхнею на 6 конфорок. Корпус із неіржавкої сталі. Конфорки розміром 300х300 мм по 3,5 кВт Діаметр посуду від 120 до 300 мм Захист від перегрівання, сист",https://labresta.com.ua/plyta-induktsiina-frosty-35-kp6/
885003485,mod_name,Плита індукційна Bartscher 105843,Плита індукційна Bartscher 105843,https://labresta.com.ua/plyta-induktsiina-bartscher-105843/
885003485,descr_full,Плита індукційна настільна на одну конфорку. Корпус виготовлений із неіржавкої сталі Поверхня — скло. Сенсорна панель керування з цифровою індикацією. Таймер. 10 рівнів нагрівання (500- 3500 Вт). 10 р,Плита індукційна настільна на одну конфорку. Корпус виготовлений із неіржавкої сталі Поверхня — скло. Сенсорна панель керування з цифровою індикацією. Таймер. 10 рівнів нагрівання (500- 3500 Вт). 10 р,https://labresta.com.ua/plyta-induktsiina-bartscher-105843/
1112316637,mod_name,Плита індукційна REEDNEE WOK AMCD108W,Плита індукційна REEDNEE WOK AMCD108W,https://labresta.com.ua/plyta-induktsiina-reednee-wok-amcd108w/
1112316637,descr_full,Плита індукційна REEDNEE WOK AMCD108W на одну конфорку. Корпус виготовлений із неіржавкої сталі Поверхня — скло. Максимальне навантаження на скло 40 кг. Таймер Цифровий дисплей Діапазон температури 60,Плита індукційна REEDNEE WOK AMCD108W на одну конфорку. Корпус виготовлений із неіржавкої сталі Поверхня — скло. Максимальне навантаження на скло 40 кг. Таймер Цифровий дисплей Діапазон температури 60,https://labresta.com.ua/plyta-induktsiina-reednee-wok-amcd108w/
1133435787,mod_name,"Плита індукційна HURAKAN HKN-ICF70D (2х3,5 кВт)","Плита індукційна HURAKAN HKN-ICF70D (2х3,5 кВт)",https://labresta.com.ua/plyta-induktsiina-hurakan-hkn-icf70d-2kh35-kvt/
1133435787,descr_full,Плита індукційна HURAKAN HKN-ICF70D двокомфоркова. Габарити: 660x396x110 мм. Кількість конфорок: 2. Матеріал корпусу: неіржавка сталь. Температурний режим: 60°С-280°С. Дві зони нагрівання. 13 рівнів п,Плита індукційна HURAKAN HKN-ICF70D двокомфоркова. Габарити: 660x396x110 мм. Кількість конфорок: 2. Матеріал корпусу: неіржавка сталь. Температурний режим: 60°С-280°С. Дві зони нагрівання. 13 рівнів п,https://labresta.com.ua/plyta-induktsiina-hurakan-hkn-icf70d-2kh35-kvt/
1133439835,mod_name,"Плита індукційна HURAKAN HKN-ICF70D2V (2х3,5 кВт)","Плита індукційна HURAKAN HKN-ICF70D2V (2х3,5 кВт)",https://labresta.com.ua/plyta-induktsiina-hurakan-hkn-icf70d2v-2kh35-kvt/
