sku,field,ua_or_diff,ru_or_bad,url
2166468351,descr_full,div: UA=0/RU=1; span: UA=0/RU=1,len(UA)=697 len(RU)=713,https://labresta.com.ua/vitryna-kholodylna-ubc-muza-m-1.25-modul/
2166473549,descr_full,div: UA=0/RU=1; span: UA=0/RU=1,len(UA)=786 len(RU)=810,https://labresta.com.ua/vitryna-kholodylna-ubc-muza-m-1.5-modul/
2166476767,descr_full,div: UA=0/RU=1; span: UA=0/RU=1,len(UA)=782 len(RU)=806,https://labresta.com.ua/vitryna-kholodylna-ubc-muza-m-1.75-modul/
2166481084,descr_full,div: UA=0/RU=1; span: UA=0/RU=1,len(UA)=783 len(RU)=807,https://labresta.com.ua/vitryna-kholodylna-ubc-muza-m-2.0-modul/
2166490777,descr_full,div: UA=0/RU=1; span: UA=0/RU=1; strong: UA=2/RU=1,len(UA)=779 len(RU)=805,https://labresta.com.ua/vitryna-kholodylna-ubc-muza-m-2.5-modul/
2166507025,descr_full,div: UA=0/RU=1; span: UA=0/RU=1,len(UA)=1182 len(RU)=1213,https://labresta.com.ua/vitryna-kholodylna-ubc-gracia-m-fg-0.94-modul/
2166530212,descr_full,div: UA=0/RU=1; span: UA=0/RU=1,len(UA)=1171 len(RU)=1222,https://labresta.com.ua/vitryna-kholodylna-ubc-gracia-m-fg-1.25-modul/
2166542418,descr_full,div: UA=0/RU=1; span: UA=0/RU=1,len(UA)=1184 len(RU)=1215,https://labresta.com.ua/vitryna-kholodylna-ubc-gracia-m-fg-1.56-modul/
2166545852,descr_full,div: UA=0/RU=1; span: UA=0/RU=1,len(UA)=1185 len(RU)=1216,https://labresta.com.ua/vitryna-kholodylna-ubc-gracia-m-fg-1.88-modul/
2166549779,descr_full,div: UA=0/RU=1; span: UA=0/RU=1,len(UA)=1205 len(RU)=1243,https://labresta.com.ua/vitryna-kholodylna-ubc-gracia-m-fg-2.5-modul/
2166568306,descr_full,div: UA=0/RU=1; span: UA=0/RU=1,len(UA)=1172 len(RU)=1223,https://labresta.com.ua/vitryna-kholodylna-ubc-gracia-m-d-fg-1.25-modul/
2166569753,descr_full,div: UA=0/RU=1; span: UA=0/RU=1,len(UA)=1185 len(RU)=1216,https://labresta.com.ua/vitryna-kholodylna-ubc-gracia-m-d-fg-1.56-modul/
2166577121,descr_full,div: UA=0/RU=1; span: UA=0/RU=1,len(UA)=1186 len(RU)=1217,https://labresta.com.ua/vitryna-kholodylna-ubc-gracia-m-d-fg-1.875-modul/
2166581099,descr_full,div: UA=0/RU=1; span: UA=0/RU=1,len(UA)=1206 len(RU)=1244,https://labresta.com.ua/vitryna-kholodylna-ubc-gracia-m-d-fg-2.5-modul/
2167083560,descr_full,div: UA=0/RU=1; span: UA=0/RU=1,len(UA)=778 len(RU)=797,https://labresta.com.ua/vitryna-kholodylna-ubc-gracia-m-0.94-modul/
2167093765,descr_full,div: UA=0/RU=1; span: UA=0/RU=1,len(UA)=766 len(RU)=785,https://labresta.com.ua/vitryna-kholodylna-ubc-gracia-m-1.25-modul/
2167100066,descr_full,div: UA=0/RU=1; span: UA=0/RU=1,len(UA)=766 len(RU)=785,https://labresta.com.ua/vitryna-kholodylna-ubc-gracia-m-1.56-modul/
2167104515,descr_full,div: UA=0/RU=1; span: UA=0/RU=1,len(UA)=766 len(RU)=785,https://labresta.com.ua/vitryna-kholodylna-ubc-gracia-m-1.88-modul/
2167107270,descr_full,div: UA=0/RU=1; li: UA=14/RU=13; span: UA=0/RU=1,len(UA)=766 len(RU)=748,https://labresta.com.ua/vitryna-kholodylna-ubc-gracia-m-2.5-modul/
2167109675,descr_full,div: UA=0/RU=1; span: UA=0/RU=1,len(UA)=807 len(RU)=825,https://labresta.com.ua/vitryna-kholodylna-ubc-gracia-m-d-0.94-modul/
2167119056,descr_full,div: UA=0/RU=1; span: UA=0/RU=1,len(UA)=850 len(RU)=867,https://labresta.com.ua/vitryna-kholodylna-ubc-gracia-m-d-1.25-modul/
2167131794,descr_full,div: UA=0/RU=1; span: UA=0/RU=1,len(UA)=876 len(RU)=893,https://labresta.com.ua/vitryna-kholodylna-ubc-gracia-m-d-1.56-modul/
2167142944,descr_full,div: UA=0/RU=1; span: UA=0/RU=1,len(UA)=876 len(RU)=893,https://labresta.com.ua/vitryna-kholodylna-ubc-gracia-m-d-1.875-modul/
2167145472,descr_full,div: UA=0/RU=1; span: UA=0/RU=1,len(UA)=878 len(RU)=895,https://labresta.com.ua/vitryna-kholodylna-ubc-gracia-m-d-2.5-modul/
2167151300,descr_full,div: UA=0/RU=1; span: UA=0/RU=1,len(UA)=999 len(RU)=1026,https://labresta.com.ua/vitryna-kholodylna-ubc-gracia-m-d-es-modul/
2167173167,descr_full,div: UA=0/RU=1; span: UA=0/RU=1,len(UA)=821 len(RU)=844,https://labresta.com.ua/vitryna-kholodylna-ubc-gracia-m-d-is-modul/
2167238403,descr_full,div: UA=0/RU=1; span: UA=0/RU=1,len(UA)=746 len(RU)=754,https://labresta.com.ua/vitryna-kholodylna-ubc-gracia-m-d-self-1.25-modul/
2167259644,descr_full,div: UA=0/RU=1; span: UA=0/RU=1,len(UA)=746 len(RU)=754,https://labresta.com.ua/vitryna-kholodylna-ubc-gracia-m-d-self-1.875-modul/
2167278125,descr_full,div: UA=0/RU=1; span: UA=0/RU=1,len(UA)=836 len(RU)=831,https://labresta.com.ua/vitryna-kholodylna-ubc-diana-cube-1.3/
2167292538,descr_full,div: UA=0/RU=1; span: UA=0/RU=1,len(UA)=699 len(RU)=698,https://labresta.com.ua/vitryna-kholodylna-ubc-diana-cube-cascade-1.3/
2167305811,descr_full,div: UA=0/RU=1; span: UA=0/RU=1,len(UA)=1017 len(RU)=1017,https://labresta.com.ua/vitryna-kholodylna-ubc-gracia-cube-meat-1.25/
2169148995,descr_full,p: UA=3/RU=4,len(UA)=957 len(RU)=992,https://labresta.com.ua/vitryna-kondyterska-ubc-muza-k-1.25/
2169752648,descr_full,font: UA=24/RU=0,len(UA)=1237 len(RU)=1250,https://labresta.com.ua/kholodylna-hirka-rehal-ubc-aura-0.63/
2169759262,descr_full,font: UA=26/RU=0,len(UA)=1033 len(RU)=1040,https://labresta.com.ua/kholodylna-hirka-rehal-ubc-aura-1.0/
2169760680,descr_full,font: UA=24/RU=0,len(UA)=1010 len(RU)=1017,https://labresta.com.ua/kholodylna-hirka-rehal-ubc-aura-1.25/
